Timestamp,Date,Model,Aircraft,PIC,,Location,Start time,End time,Flight time,Distance,Max Height,Battery,Takeoff,Landing,Log file,Pix4Dcapture mission ,Image folder,Conditions,Purpose,Camera,CAM,FLIR power up,Notes,LOG_FILE index,flights index,
2021-09-13 12:41:05,13 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Vernal,12:41:05,12:55:29,14:24,2183,70.4,green,96,44,FLY201.DAT,Project 00102,0026SET,clear,thermal,MicaSense Altum,Simon,0,winds picking up,89,10,6
2021-09-13 14:12:59,13 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Vernal,14:12:59,14:31:07,18:08,2188,70.5,yellow,97,35,FLY202.DAT,Project 00103,0027SET,clear,thermal,MicaSense Altum,Simon,0,0,90,11,
2021-09-14 09:12:26,14 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Confluence,9:12:26,9:29:01,16:35,2579,70.2,green,99,35,FLY205.DAT,Project 00104,0028SET,scattered; clearing up,thermal,MicaSense Altum,Simon,0,0,92,12,7
2021-09-14 10:31:43,14 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Confluence,10:31:43,10:48:25,16:42,2622,70.3,yellow,100,34,FLY206.DAT,Project 00105,0029SET,clear,thermal,MicaSense Altum,Simon,0,check DL222 clock for this and previous flights; reset after this flight + was about 2 min fast,93,13,8
2021-09-14 12:07:06,14 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Confluence,12:07:06,12:23:15,16:09,2599,70.5,purple,97,44,FLY207.DAT,Project 00106,0030SET,"clear, a bit windy",thermal,MicaSense Altum,Simon,0,0,94,14,9
2021-09-14 13:39:52,14 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Confluence,13:39:52,13:56:27,16:35,2589,70.2,pink,97,41,FLY208.DAT,Project 00107,0031SET,clear,thermal,MicaSense Altum,Simon,0,0,95,15,
2021-09-15 09:04:46,15 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Tinta,9:04:46,9:19:53,15:07,2296,70.3,green,99,41,FLY211.DAT,Project 00109,0032SET,foggy + overcast,thermal,MicaSense Altum,Simon,0,0,97,16,10
2021-09-15 10:34:23,15 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Tinta,10:34:23,10:48:50,14:27,2307,70.9,purple,99,47,FLY212.DAT,Project 00111,0033SET,mostly clear (40% cover); clouds mostly to S and W,thermal,MicaSense Altum,Simon,0,winds increasing from W,98,17,11
2021-09-15 12:03:52,15 Sep 2021,DJI M600 Pro,FA3XL3AKHE,Bryn Morgan,Dangermond,Tinta,12:03:52,12:18:00,14:08,2298,70.9,yellow,98,50,FLY213.DAT,Project 00112,0034SET,clear,thermal,MicaSense Altum,Simon,0,windy from W,99,18,12
2022-01-14 14:12:59,14 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Cate School,0,14:12:59,14:14:49,01:50,101,45.8,blue,93,86,FLY020.DAT,0,0006SET,0,test flight,MicaSense Altum,Garfunkel,0,0,100,,
2022-01-14 14:18:03,14 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Cate School,0,14:18:03,14:25:50,07:47,543,45.2,blue,85,53,FLY021.DAT,0,0007SET,0,test flight,MicaSense Altum,Garfunkel,0,0,101,,
2022-01-17 13:56:28,17 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Cate School,0,13:56:28,14:02:39,06:11,549,65.9,green,95,70,FLY023.DAT,0,0008SET,0,test flight with two anemometers,MicaSense Altum,Garfunkel,0,0,102,,
2022-01-17 14:19:11,17 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Cate School,0,14:19:11,14:24:09,04:58,404,69.1,green,70,49,FLY024.DAT,0,0009SET,0,test flight with two anemometers,MicaSense Altum,Garfunkel,0,0,103,,
2022-01-18 10:09:30,18 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,10:09:30,10:26:38,17:08,2374,60.2,pink,95,27,FLY028.DAT,Project 00121,0011SET,40-50% cloud cover,thermal,MicaSense Altum,Garfunkel,0,clouds moving a lot; winds light a variable with a few gusts around 4–5 m/s on the ground,104,,
2022-01-18 11:11:35,18 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,11:11:35,11:28:29,16:54,2379,60.2,purple,96,30,FLY029.DAT,Project 00122,0012SET,15–20% cloud cover; winds increasing,thermal,MicaSense Altum,Garfunkel,0,DL222 turned on at 10:58 (nearly 10:59)—compare with internal timestamp,105,,
2022-01-18 12:10:14,18 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,12:10:14,12:27:16,17:02,2376,60.2,green,98,32,FLY030.DAT,Project 00123,0013SET,a few clouds (10%); winds variable,thermal,MicaSense Altum,Garfunkel,0,0,106,,
2022-01-18 13:08:51,18 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,13:08:51,13:26:04,17:13,2377,60.1,yellow,96,26,FLY031.DAT,Project 00124,0014SET,clear,thermal,MicaSense Altum,Garfunkel,0,very light winds,107,,
2022-01-18 14:12:00,18 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,14:12:00,14:15:05,03:05,482,60.2,red,99,87,FLY032.DAT,Project 00125,0015SET,clear,thermal,MicaSense Altum,Garfunkel,0,"flying very fast (10m/s) on flight lines, so brought home.",108,,
2022-01-18 14:20:53,18 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,14:20:53,14:35:14,14:21,1977,60.3,red,87,28,FLY033.DAT,Project 00126,0016SET,clear,thermal,MicaSense Altum,Garfunkel,0,0,109,,
2022-01-25 10:00:41,25 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,10:00:41,10:18:05,17:24,2345,60.3,blue,97,27,FLY036.DAT,Project 00127,0017SET,clear with slight haze to SE,thermal,MicaSense Altum,Garfunkel,0,"Windy;Flew with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",110,,
2022-01-25 11:04:29,25 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,11:04:29,11:23:14,18:45,2715,60.7,red,99,30,FLY038.DAT,Project 00128,0019SET,clear,thermal,MicaSense Altum,Garfunkel,0,"Flew with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",111,,
2022-01-25 12:07:30,25 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,12:07:30,12:23:54,16:24,2332,60.1,green,97,30,FLY039.DAT,Project 00129,0020SET,clear,thermal,MicaSense Altum,Garfunkel,0,"Flew with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",112,,
2022-01-25 13:07:15,25 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,13:07:15,13:24:09,16:54,2329,60.2,yellow,97,28,FLY041.DAT,Project 00130,0022SET,clear,thermal,MicaSense Altum,Garfunkel,0,"Flew with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",113,,
2022-01-25 14:01:40,25 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,14:01:40,14:18:28,16:48,2339,60.4,pink,97,33,FLY042.DAT,Project 00131,0023SET,clear,thermal,MicaSense Altum,Garfunkel,0,"winds picking up in last half hour Flew  with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",114,,
2022-01-28 12:10:44,28 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,12:10:44,12:27:26,16:42,2346,60.2,blue,97,34,FLY046.DAT,Project 00132,0024SET,clear with some clouds to SE,thermal,MicaSense Altum,Garfunkel,0,"windy Flew  with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",115,,
2022-01-28 13:18:43,28 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,13:18:43,13:37:52,19:09,2722,60.3,black/TBD,97,25,FLY048.DAT,Project 00133,0026SET,clear with some clouds to NE,thermal,MicaSense Altum,Garfunkel,0,"windy with gusts up to 7 m/S. Flew with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",116,,
2022-01-28 14:04:06,28 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,14:04:06,14:20:40,16:34,2339,60.2,pink,98,31,FLY049.DAT,Project 00134,0027SET,clear,thermal,MicaSense Altum,Garfunkel,0,"windy Flew  with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",117,,
2022-01-28 15:04:54,28 Jan 2022,DJI M600 Pro,FA3XL37NEM,Bryn Morgan,Dangermond,Ramajal,15:04:54,15:21:29,16:35,2357,60.3,yellow,97,33,FLY051.DAT,Project 00135,0029SET,clear,thermal,MicaSense Altum,Garfunkel,0,"windy Flew  with Mast 52 (set up with 1 anemometer). Mast 75 (with two anemometers) set up with anemometer 92.5cm off the ground. Oriented due S. DLS2 heading is way off",118,,
